rank,company,ticker,industry,state,city,revenues_millions,profits_millions,assets_millions,market_value_millions,employees,website
196,Reinsurance Group of America,RGA,"Insurance: Life, Health (stock)",Missouri,Chesterfield,"$22,107",$717,"$118,675","$13,000.2","4,100",https://www.rgare.com
197,Waste Management,WM,Waste Management,Texas,Houston,"$22,063","$2,746","$44,567","$93,093.7","61,700",https://www.wm.com
198,State Street,STT,Commercial Banks,Massachusetts,Boston,"$22,054","$2,687","$353,240","$25,826.6","52,626",https://www.statestreet.com
199,WESCO International,WCC,Wholesalers: Diversified,Pennsylvania,Pittsburgh,"$21,818.8",$717.6,"$15,061.4","$7,578","20,000",https://www.wesco.com
200,Oneok,OKE,Pipelines,Oklahoma,Tulsa,"$21,698","$3,035","$64,069","$61,947","5,177",https://www.oneok.com
201,Adobe,ADBE,Computer Software,California,San Jose,"$21,505","$5,560","$30,230","$163,460.5","30,709",https://www.adobe.com
202,American Family Insurance Group,~,Insurance: Property and Casualty (Stock),Wisconsin,Madison,"$21,339.4","$2,477.6","$42,182.9",~,"11,073",
203,L3Harris Technologies,LHX,Aerospace & Defense,Florida,Melbourne,"$21,325","$1,502","$42,001","$39,290.9","47,000",https://www.l3harris.com
204,Ross Stores,ROST,Specialty Retailers: Apparel,California,Dublin,"$21,129.2","$2,090.7","$14,905.3","$42,161.7","107,000",https://www.rossstores.com
205,CDW,CDW,Information Technology Services,Illinois,Vernon Hills,"$20,998.7","$1,077.8","$14,678.4","$21,233.2","15,100",https://www.cdw.com
206,Tenet Healthcare,THC,Health Care: Medical Facilities,Texas,Dallas,"$20,665","$3,200","$28,936","$12,793.8","86,240",https://www.tenethealth.com
207,BJ's Wholesale Club,BJ,General Merchandisers,Massachusetts,Marlborough,"$20,501.8",$534.4,"$7,065.3","$15,024.3","33,000",https://www.bjs.com
208,Fiserv,FI,Financial Data Services,Wisconsin,Milwaukee,"$20,456","$3,131","$77,176","$123,949.4","38,000",https://www.fiserv.com
209,Altria Group,MO,Tobacco,Virginia,Richmond,"$20,444","$11,264","$35,177","$101,473.5","6,200",https://www.altria.com
210,BlackRock,BLK,Securities,New York,New York,"$20,407","$6,369","$138,615","$146,944.3","21,100",https://www.blackrock.com
211,Becton Dickinson,BDX,Medical Products and Equipment,New Jersey,Franklin Lakes,"$20,178","$1,705","$57,286","$65,771.2","74,000",https://www.bd.com
212,Colgate-Palmolive,CL,Household and Personal Products,New York,New York,"$20,101","$2,889","$16,046","$75,998.6","34,000",https://www.colgatepalmolive.com
213,Kimberly-Clark,KMB,Household and Personal Products,Texas,Irving,"$20,058","$2,545","$16,546","$47,167.5","38,000",https://www.kimberly-clark.com
214,Group 1 Automotive,GPI,"Automotive Retailing, Services",Texas,Houston,"$19,934.3",$498.1,"$9,824.2","$4,981.1","20,413",https://www.group1auto.com
215,Parker-Hannifin,PH,Industrial Machinery,Ohio,Cleveland,"$19,929.6","$2,844.2","$29,297.8","$78,269.7","61,120",https://www.phstock.com
216,General Mills,GIS,Food Consumer Products,Minnesota,Minneapolis,"$19,857.2","$2,496.6","$31,469.9","$32,741","34,000",https://www.generalmills.com
217,Cognizant Technology Solutions,CTSH,Information Technology Services,New Jersey,Teaneck,"$19,736","$2,240","$19,966","$37,838.1","336,800",https://www.cognizant.com
218,American Electric Power,AEP,Utilities: Gas and Electric,Ohio,Columbus,"$19,721.3","$2,967.1","$103,078","$58,348.8","16,330",https://www.aep.com
219,GE HealthCare Technologies,GEHC,Medical Products and Equipment,Illinois,Chicago,"$19,672","$1,993","$33,089","$36,908.5","53,000",https://www.gehealthcare.com
220,Automatic Data Processing,ADP,Diversified Outsourcing Services,New Jersey,Roseland,"$19,202.6","$3,752","$54,362.7","$124,311.3","64,000",https://www.adp.com
221,Cleveland-Cliffs,CLF,Metals,Ohio,Cleveland,"$19,185",$-754,"$20,947","$4,064.6","30,000",https://www.clevelandcliffs.com
222,Aflac,AFL,"Insurance: Life, Health (stock)",Georgia,Columbus,"$18,927","$5,443","$117,566","$60,689.1","12,694",https://www.aflac.com
223,Goodyear Tire & Rubber,GT,Motor Vehicles & Parts,Ohio,Akron,"$18,878",$70,"$20,964","$2,634.5","68,000",https://www.goodyear.com
224,Corebridge Financial,CRBG,Diversified Financials,Texas,Houston,"$18,781","$2,230","$389,397","$17,552.8","5,200",
225,Newmont,NEM,"Mining, Crude-Oil Production",Colorado,Denver,"$18,682","$3,348","$56,349","$54,424","22,200",https://www.newmont.com
226,International Paper,IP,"Packaging, Containers",Tennessee,Memphis,"$18,619",$557,"$22,800","$28,068.8","37,000",https://www.internationalpaper.com
227,AutoZone,AZO,Specialty Retailers: Other,Tennessee,Memphis,"$18,490.3","$2,662.4","$17,176.5","$63,782.7","100,800",https://www.autozone.com
228,Lincoln National,LNC,"Insurance: Life, Health (stock)",Pennsylvania,Radnor,"$18,442","$3,275","$390,831","$6,119.2","9,783",https://lincolnfinancial.com/
229,PulteGroup,PHM,Homebuilders,Georgia,Atlanta,"$17,947","$3,083.3","$17,363.8","$20,723","6,793",https://www.pultegroupinc.com
230,Ameriprise Financial,AMP,Diversified Financials,Minnesota,Minneapolis,"$17,926","$3,401","$181,403","$46,384.5","13,600",https://www.ameriprise.com
231,Murphy USA,MUSA,Specialty Retailers: Other,Arkansas,El Dorado,"$17,909.4",$502.5,"$4,541.6","$9,299.8","11,550",https://www.murphyusa.com
232,ManpowerGroup,MAN,Diversified Outsourcing Services,Wisconsin,Milwaukee,"$17,853.9",$145.1,"$8,201","$2,705.3","26,700",https://www.manpowergroup.com
233,C.H. Robinson Worldwide,CHRW,Transportation and Logistics,Minnesota,Eden Prairie,"$17,725",$465.7,"$5,297.9","$12,106.4","13,781",https://www.chrobinson.com
234,PPG Industries,PPG,Chemicals,Pennsylvania,Pittsburgh,"$17,723","$1,116","$19,433","$24,819.7","46,000",https://www.ppg.com
235,Edison International,EIX,Utilities: Gas and Electric,California,Rosemead,"$17,599","$1,284","$85,579","$22,685.6","14,013",https://www.edisoninvestor.com
236,Steel Dynamics,STLD,Metals,Indiana,Fort Wayne,"$17,540.4","$1,537.1","$14,935.2","$18,749.1","13,000",https://www.steeldynamics.com
237,Loews,L,Insurance: Property and Casualty (Stock),New York,New York,"$17,510","$1,414","$81,943","$19,564.1","13,000",https://www.loews.com
238,Emerson Electric,EMR,Industrial Machinery,Missouri,St. Louis,"$17,492","$1,968","$44,246","$61,826","73,000",https://www.emerson.com
239,Aramark,ARMK,Diversified Outsourcing Services,Pennsylvania,Philadelphia,"$17,400.7",$262.5,"$12,674.4","$9,151.4","266,680",https://www.aramark.com
240,MGM Resorts International,MGM,"Hotels, Casinos, Resorts",Nevada,Las Vegas,"$17,240.5",$746.6,"$42,231.6","$8,386.7","69,000",https://www.mgmresorts.com
241,Vistra,VST,Energy,Texas,Irving,"$17,224","$2,659","$37,770","$39,948","6,850",https://www.vistracorp.com
242,Asbury Automotive Group,ABG,"Automotive Retailing, Services",Georgia,Duluth,"$17,188.6",$430.3,"$10,337","$4,338.5","15,000",https://www.asburyauto.com
243,W.W. Grainger,GWW,Wholesalers: Diversified,Illinois,Lake Forest,"$17,168","$1,909","$8,829","$47,585.2","25,000",
244,Global Partners,GLP,Energy,Massachusetts,Waltham,"$17,163.6",$110.3,"$3,788.2","$1,814.7","3,833",https://www.globalp.com
245,Jacobs Solutions,J,Diversified Outsourcing Services,Texas,Dallas,"$16,973.9",$806.1,"$11,759","$14,814.3","44,050",https://www.jacobs.com
246,Corteva,CTVA,Food Production,Indiana,Indianapolis,"$16,908",$907,"$40,825","$42,982.1","22,000",https://www.corteva.com
247,Peter Kiewit Sons',~,Engineering & Construction,Nebraska,Omaha,"$16,838","$1,315","$11,481",~,"31,800",
248,Boston Scientific,BSX,Medical Products and Equipment,Massachusetts,Marlborough,"$16,747","$1,853","$39,395","$149,208.6","53,000",https://www.bostonscientific.com
249,O'Reilly Automotive,ORLY,Specialty Retailers: Other,Missouri,Springfield,"$16,708.5","$2,386.7","$14,893.7","$82,001.6","85,579",https://www.oreillyauto.com
250,Leidos Holdings,LDOS,Information Technology Services,Virginia,Reston,"$16,662","$1,254","$13,104","$17,301.2","48,000",https://www.leidos.com
251,Markel Group,MKL,Insurance: Property and Casualty (Stock),Virginia,Glen Allen,"$16,620.8","$2,747","$61,898","$23,874.9","22,000",https://www.mklgroup.com
252,Whirlpool,WHR,"Electronics, Electrical Equip.",Michigan,Benton Harbor,"$16,607",$-323,"$16,301","$4,991.8","44,000",https://www.whirlpoolcorp.com
253,Guardian Life Ins. Co. of America,~,"Insurance: Life, Health (Mutual)",New York,New York,"$16,471",$258,"$98,630",~,"7,472",
254,Builders FirstSource,BLDR,"Building Materials, Glass",Texas,Irving,"$16,400.5","$1,077.9","$10,583.1","$14,195.9","29,000",https://www.bldr.com
255,Ally Financial,ALLY,Diversified Financials,Michigan,Detroit,"$16,389",$668,"$191,836","$11,201.2","10,700",https://www.ally.com
256,Targa Resources,TRGP,Pipelines,Texas,Houston,"$16,381.5","$1,312","$22,734.1","$43,619.3","3,370",https://www.targaresources.com
257,Fluor,FLR,Engineering & Construction,Texas,Irving,"$16,315","$2,145","$9,143","$6,018.5","26,866",https://www.fluor.com
258,Intuit,INTU,Computer Software,California,Mountain View,"$16,285","$2,963","$32,132","$171,648.3","24,200",https://www.intuit.com
259,AECOM,ACM,Engineering & Construction,Texas,Dallas,"$16,283.7",$402.3,"$12,061.7","$12,304.3","51,000",https://www.aecom.com
260,Jones Financial (Edward Jones),~,Securities,Missouri,Des Peres,"$16,257","$1,981","$28,964",~,"55,000",
261,Kohl's,KSS,General Merchandisers,Wisconsin,Menomonee Falls,"$16,221",$109,"$13,559",$910.6,"60,000",https://www.kohls.com
262,Land O'Lakes,~,Food Consumer Products,Minnesota,Arden Hills,"$16,206.8",$238.3,"$9,525.2",~,"9,000",
263,Principal Financial,PFG,"Insurance: Life, Health (stock)",Iowa,Des Moines,"$16,127.7","$1,571","$313,663.6","$19,031.5","19,700",https://www.principal.com
264,Dominion Energy,D,Utilities: Gas and Electric,Virginia,Richmond,"$16,070","$2,124","$102,415","$47,783.7","14,700",https://www.dominionenergy.com
265,Kyndryl Holdings,KD,Information Technology Services,New York,New York,"$16,052",$-340,"$10,590","$7,306.6","80,000",https://www.kyndryl.com
266,Republic Services,RSG,Waste Management,Arizona,Phoenix,"$16,032","$2,043","$32,402","$75,622.9","42,000",https://www.republicservices.com
267,Devon Energy,DVN,"Mining, Crude-Oil Production",Oklahoma,Oklahoma City,"$15,940","$2,891","$30,489","$24,272.6","2,300",https://www.devonenergy.com
268,Illinois Tool Works,ITW,Industrial Machinery,Illinois,Glenview,"$15,898","$3,488","$15,067","$72,757.7","44,000",https://www.itw.com
269,Northern Trust,NTRS,Commercial Banks,Illinois,Chicago,"$15,875.6","$2,031.1","$155,508.4","$19,233.9","23,300",https://www.northerntrust.com
270,Auto-Owners Insurance,~,Insurance: Property and Casualty (Mutual),Michigan,Lansing,"$15,839",$695.4,"$39,574.5",~,"7,329",
271,Universal Health Services,UHS,Health Care: Medical Facilities,Pennsylvania,King of Prussia,"$15,827.9","$1,142.1","$14,469.7","$12,213.9","87,500",https://www.uhs.com
272,Pacific Life,~,"Insurance: Life, Health (stock)",California,Newport Beach,"$15,827","$1,227","$238,905",~,"4,334",
273,EchoStar,SATS,Telecommunications,Colorado,Englewood,"$15,825.5",$-119.5,"$60,938.7","$7,330","13,700",https://www.echostar.com
274,Ecolab,ECL,Chemicals,Minnesota,St. Paul,"$15,741.4","$2,112.4","$22,387.8","$71,906.5","48,000",https://www.ecolab.com
275,Cheniere Energy,LNG,Pipelines,Texas,Houston,"$15,703","$3,252","$43,858","$51,756.2","1,714",https://www.cheniere.com
276,Omnicom Group,OMC,"Advertising, marketing",New York,New York,"$15,689.1","$1,480.6","$29,620.7","$16,298.1","74,900",https://www.omnicomgroup.com
277,Texas Instruments,TXN,Semiconductors and Other Electronic Components,Texas,Dallas,"$15,641","$4,799","$35,509","$163,512.2","34,000",https://www.ti.com
278,United States Steel,X,Metals,Pennsylvania,Pittsburgh,"$15,640",$384,"$20,235","$9,567.9","22,053",https://www.ussteel.com
279,Estee Lauder,EL,Household and Personal Products,New York,New York,"$15,608",$390,"$21,677","$23,741.2","53,010",
280,Farmers Insurance Exchange,~,Insurance: Property and Casualty (Mutual),California,Woodland Hills,"$15,456.4",$588.6,"$25,492.9",~,"9,909",
281,Kenvue,KVUE,Household and Personal Products,New Jersey,Summit,"$15,455","$1,030","$25,601","$45,831.6","22,000",
282,IQVIA Holdings,IQV,Health Care: Pharmacy and Other Services,North Carolina,Durham,"$15,405","$1,373","$26,899","$31,084.3","88,000",https://www.iqvia.com
283,Stanley Black & Decker,SWK,Industrial Machinery,Connecticut,New Britain,"$15,365.7",$294.3,"$21,848.9","$11,880.8","48,500",https://www.stanleyblackanddecker.com
284,Keurig Dr Pepper,KDP,Beverages,Massachusetts,Burlington,"$15,351","$1,441","$53,430","$46,428","29,400",https://keurig.com
285,United Rentals,URI,Specialty Retailers: Other,Connecticut,Stamford,"$15,345","$2,575","$28,163","$40,943.6","27,900",https://www.unitedrentals.com
286,Consolidated Edison,ED,Utilities: Gas and Electric,New York,New York,"$15,256","$1,820","$70,562","$39,046.2","15,097",https://www.conedison.com
287,Amphenol,APH,Network and Other Communications Equipment,Connecticut,Wallingford,"$15,222.7","$2,424","$21,440.2","$79,480.9","125,000",https://www.amphenol.com
288,Baxter International,BAX,Medical Products and Equipment,Illinois,Deerfield,"$15,149",$-649,"$25,782","$17,557.4","38,000",https://www.baxter.com
289,Kinder Morgan,KMI,Pipelines,Texas,Houston,"$15,100","$2,613","$71,407","$63,392.6","10,933",https://www.kindermorgan.com
290,Gap,GAP,Specialty Retailers: Apparel,California,San Francisco,"$15,086",$844,"$11,885","$7,726.8","82,000",
291,Nordstrom,~,General Merchandisers,Washington,Seattle,"$15,016",$294,"$8,966","$4,080.7","41,000",
292,Super Micro Computer,SMCI,"Computers, Office Equipment",California,San Jose,"$14,989.3","$1,152.7","$9,826.1","$20,320.8","5,684",https://www.supermicro.com
293,First Citizens BancShares,FCNC.A,Commercial Banks,North Carolina,Raleigh,"$14,968","$2,777","$223,720","$24,890.9","17,333",
294,Raymond James Financial,RJF,Securities,Florida,St. Petersburg,"$14,923","$2,068","$82,992","$28,464.1","19,000",https://www.raymondjames.com
295,Lam Research,LRCX,Semiconductors and Other Electronic Components,California,Fremont,"$14,905.4","$3,827.8","$18,744.7","$93,322.2","17,450",https://www.lamresearch.com
296,Tractor Supply,TSCO,Specialty Retailers: Other,Tennessee,Brentwood,"$14,883.2","$1,101.2","$9,805.5","$29,292","39,000",https://www.tractorsupply.com
297,Casey's General Stores,CASY,Specialty Retailers: Other,Iowa,Ankeny,"$14,862.9",$502,"$6,347.4","$16,111.1","33,147",https://www.caseys.com
298,Viatris,VTRS,Pharmaceuticals,Pennsylvania,Canonsburg,"$14,739.3",$-634.2,"$41,500.9","$10,397","32,000",https://www.viatris.com
299,Mutual of Omaha,~,"Insurance: Life, Health (Mutual)",Nebraska,Omaha,"$14,622.2",$146.1,"$55,398",~,"6,532",
300,EMCOR Group,EME,Engineering & Construction,Connecticut,Norwalk,"$14,566.1","$1,007.1","$7,716.5","$16,808","40,400",https://www.emcorgroup.com
301,CSX,CSX,Railroads,Florida,Jacksonville,"$14,540","$3,470","$42,764","$55,468.1","23,536",https://www.csx.com
302,LKQ,LKQ,Wholesalers: Diversified,Tennessee,Antioch,"$14,355",$690,"$14,955","$10,998.8","47,000",https://www.lkqcorp.com
303,Otis Worldwide,OTIS,Industrial Machinery,Connecticut,Farmington,"$14,261","$1,645","$11,316","$40,920.7","72,000",https://www.otis.com
304,Sonic Automotive,SAH,"Automotive Retailing, Services",North Carolina,Charlotte,"$14,224.3",$216,"$5,895.7","$1,928.9","10,800",https://www.sonicautomotive.com
305,S&P Global,SPGI,Financial Data Services,New York,New York,"$14,208","$3,852","$60,221","$159,462.4","42,350",https://www.spglobal.com
306,Regeneron Pharmaceuticals,REGN,Pharmaceuticals,New York,Tarrytown,"$14,202","$4,412.6","$37,759.4","$69,337","15,106",https://www.regeneron.com
307,BorgWarner,BWA,Motor Vehicles & Parts,Michigan,Auburn Hills,"$14,086",$338,"$13,993","$6,294","38,300",https://www.borgwarner.com
308,Fox,FOXA,Entertainment,New York,New York,"$13,980","$1,501","$21,972","$24,747.6","10,200",https://www.foxcorporation.com
309,Reliance,RS,Metals,Arizona,Scottsdale,"$13,835",$875.2,"$10,021.8","$15,295.7","16,050",https://reliance.com
310,Western & Southern Financial Group,~,"Insurance: Life, Health (Mutual)",Ohio,Cincinnati,"$13,769.2",$875.2,"$81,187.5",~,"2,744",
311,Textron,TXT,Aerospace & Defense,Rhode Island,Providence,"$13,702",$824,"$16,838","$13,122.1","34,000",https://www.textron.com
312,Expedia Group,EXPE,Internet Services and Retailing,Washington,Seattle,"$13,691","$1,234","$22,388","$21,660.9","16,500",https://www.expediagroup.com
313,Fidelity National Financial,FNF,Insurance: Property and Casualty (Stock),Florida,Jacksonville,"$13,681","$1,270","$95,372","$17,896.3","23,533",https://www.fnf.com
314,Carvana,CVNA,"Automotive Retailing, Services",Arizona,Tempe,"$13,673",$210,"$8,484","$42,811","17,400",https://www.carvana.com
315,DXC Technology,DXC,Information Technology Services,Virginia,Ashburn,"$13,667",$91,"$13,871","$3,086.9","130,000",https://www.dxc.technology
316,W.R. Berkley,WRB,Insurance: Property and Casualty (Stock),Connecticut,Greenwich,"$13,638.8","$1,756.1","$40,567.3","$26,985.7","8,606",https://www.berkley.com
317,M&T Bank,MTB,Commercial Banks,New York,Buffalo,"$13,453","$2,588","$208,105","$29,366.9","22,101",https://www.mtb.com
318,Dick's Sporting Goods,DKS,Specialty Retailers: Other,Pennsylvania,Coraopolis,"$13,442.8","$1,165.3","$10,458.7","$16,095.7","37,350",https://www.dickssportinggoods.com
319,Xcel Energy,XEL,Utilities: Gas and Electric,Minnesota,Minneapolis,"$13,441","$1,936","$70,035","$40,672.6","11,380",https://www.xcelenergy.com
320,Fifth Third Bancorp,FITB,Commercial Banks,Ohio,Cincinnati,"$13,275","$2,314","$212,927","$26,189.5","18,616",https://www.53.com
321,Blackstone,BX,Diversified Financials,New York,New York,"$13,230","$2,776.5","$43,469.9","$101,957.8","4,895",https://www.blackstone.com
322,Sempra,SRE,Utilities: Gas and Electric,California,San Diego,"$13,185","$2,861","$96,155","$46,520.5","16,773",https://www.sempra.com
323,Erie Insurance Group,~,Insurance: Property and Casualty (Mutual),Pennsylvania,Erie,"$13,176.9",$694.5,"$30,022.9",~,"6,747",
324,Corning,GLW,"Electronics, Electrical Equip.",New York,Corning,"$13,118",$506,"$27,735","$39,223.3","56,300",https://www.corning.com
325,Lumen Technologies,LUMN,Telecommunications,Louisiana,Monroe,"$13,108",$-55,"$33,496","$4,018.4","25,000",https://www.lumen.com
326,FirstEnergy,FE,Utilities: Gas and Electric,Ohio,Akron,"$13,043",$978,"$52,044","$23,310.1","12,294",https://www.firstenergycorp.com
327,Hess,HES,"Mining, Crude-Oil Production",New York,New York,"$13,018","$2,769","$26,551","$49,243.4","1,797",https://www.hess.com
328,Labcorp Holdings,LH,Health Care: Pharmacy and Other Services,North Carolina,Burlington,"$13,008.9",$746,"$18,379","$19,480.3","65,450",https://www.labcorp.com
329,Western Digital,WDC,"Computers, Office Equipment",California,San Jose,"$13,003",$-798,"$24,188","$14,062.5","51,000",https://www.westerndigital.com
330,Unum Group,UNM,"Insurance: Life, Health (stock)",Tennessee,Chattanooga,"$12,887.3","$1,779.1","$61,959.3","$14,400.3","10,948",https://www.unum.com
331,DaVita,DVA,Health Care: Medical Facilities,Colorado,Denver,"$12,815.6",$936.3,"$17,285.3","$12,237.6","76,000",https://www.davita.com
332,Kellanova,K,Food Consumer Products,Illinois,Chicago,"$12,749","$1,343","$15,628","$28,476.9","24,000",https://www.kellanova.com
333,Henry Schein,HSIC,Wholesalers: Health Care,New York,Melville,"$12,673",$390,"$10,218","$8,504.9","25,000",https://www.henryschein.com
334,Ryder System,R,Transportation and Logistics,Florida,Coral Gables,"$12,636",$489,"$16,672","$6,002.9","50,700",https://www.ryder.com
335,Community Health Systems,CYH,Health Care: Medical Facilities,Tennessee,Franklin,"$12,634",$-516,"$14,054",$379.1,"52,500",https://www.chs.net
336,Delek US Holdings,DK,Petroleum Refining,Tennessee,Brentwood,"$12,464.2",$-560.4,"$6,665.8",$932.3,"1,987",https://www.delekus.com
337,DTE Energy,DTE,Utilities: Gas and Electric,Michigan,Detroit,"$12,457","$1,404","$48,846","$28,693.5","9,500",https://www.dteenergy.com
338,Equitable Holdings,EQH,"Insurance: Life, Health (stock)",New York,New York,"$12,437","$1,307","$295,866","$15,982.7","10,300",https://www.equitableholdings.com
339,DuPont,DD,Chemicals,Delaware,Wilmington,"$12,386",$703,"$36,636","$31,219.9","24,000",https://www.dupont.com
340,LPL Financial Holdings,LPLA,Securities,California,San Diego,"$12,385.1","$1,058.6","$13,317.4","$24,399.1","9,000",https://www.lpl.com
341,Citizens Financial Group,CFG,Commercial Banks,Rhode Island,Providence,"$12,362","$1,509","$217,521","$17,909.4","17,287",https://www.citizensbank.com
342,MasTec,MTZ,Engineering & Construction,Florida,Coral Gables,"$12,303.5",$162.8,"$8,975.3","$9,254.1","32,000",https://www.mastec.com
343,AES,AES,Utilities: Gas and Electric,Virginia,Arlington,"$12,278","$1,679","$47,406","$8,841.8","9,100",https://www.aes.com
344,Berry Global Group,BERY,"Packaging, Containers",Indiana,Evansville,"$12,258",$516,"$16,613","$8,084","42,000",https://www.berryglobal.com
345,Westlake,WLK,Chemicals,Texas,Houston,"$12,142",$602,"$20,750","$12,852.8","15,540",https://www.westlake.com
346,Norfolk Southern,NSC,Railroads,Georgia,Atlanta,"$12,123","$2,622","$43,682","$58,397.3","19,600",https://www.norfolksouthern.com
347,Air Products & Chemicals,APD,Chemicals,Pennsylvania,Allentown,"$12,100.6","$3,828.2","$39,574.6","$65,612.5","22,425",https://www.airproducts.com
348,J.B. Hunt Transport Services,JBHT,"Trucking, Truck Leasing",Arkansas,Lowell,"$12,087.2",$570.9,"$8,312.3","$14,796.2","33,646",https://www.jbhunt.com
349,Ball,BALL,"Packaging, Containers",Colorado,Westminster,"$12,056","$4,008","$17,628","$14,703.5","16,000",https://www.ball.com
350,Conagra Brands,CAG,Food Consumer Products,Illinois,Chicago,"$12,050.9",$347.2,"$20,862.3","$12,730.1","18,500",https://www.conagrabrands.com
351,Huntington Bancshares,HBAN,Commercial Banks,Ohio,Columbus,"$11,961","$1,940","$204,230","$21,925.9","19,932",https://www.huntington.com
352,Hormel Foods,HRL,Food Consumer Products,Minnesota,Austin,"$11,920.8",$805,"$13,434.7","$17,014.3","20,000",https://www.hormelfoods.com
353,Eversource Energy,ES,Utilities: Gas and Electric,Massachusetts,Springfield,"$11,900.8",$811.7,"$59,594.5","$22,799.5","10,680",https://www.eversource.com
354,Alcoa,AA,Metals,Pennsylvania,Pittsburgh,"$11,895",$60,"$14,064","$7,896","13,900",https://www.alcoa.com
355,Entergy,ETR,Utilities: Gas and Electric,Louisiana,New Orleans,"$11,879.7","$1,055.6","$64,790","$38,157.7","12,267",https://www.entergy.com
356,Assurant,AIZ,Insurance: Property and Casualty (Stock),Georgia,Atlanta,"$11,877.5",$760.2,"$35,020.6","$10,653.6","14,200",https://www.assurant.com
357,Chewy,CHWY,Internet Services and Retailing,Florida,Plantation,"$11,861.3",$392.7,"$3,014.5","$13,447.4","18,000",https://www.chewy.com
358,Wayfair,W,Internet Services and Retailing,Massachusetts,Boston,"$11,851",$-492,"$3,459","$4,064.8","12,100",https://www.wayfair.com
359,Crown Holdings,CCK,"Packaging, Containers",Florida,Tampa,"$11,801",$424,"$13,848","$10,440.2","23,000",https://www.crowncork.com
360,Avis Budget Group,CAR,"Automotive Retailing, Services",New Jersey,Parsippany,"$11,789","$-1,821","$29,041","$2,671.1","20,500",https://www.avisbudgetgroup.com
361,Intercontinental Exchange,ICE,Securities,Georgia,Atlanta,"$11,761","$2,754","$139,428","$99,100.9","12,920",https://www.ice.com
362,Alaska Air Group,ALK,Airlines,Washington,Seattle,"$11,735",$395,"$19,768","$6,041.8","32,074",https://www.alaskaair.com
363,GXO Logistics,GXO,Transportation and Logistics,Connecticut,Greenwich,"$11,709",$134,"$11,266","$4,670.8","128,500",https://www.gxo.com
364,AGCO,AGCO,Construction and Farm Machinery,Georgia,Duluth,"$11,661.9",$-424.8,"$11,190.6","$6,904.1","24,000",https://www.agcocorp.com
365,Graybar Electric,~,Wholesalers: Diversified,Missouri,St. Louis,"$11,645.5",$423.1,"$4,307.2",~,"10,000",
366,Molson Coors Beverage,TAP,Beverages,Illinois,Chicago,"$11,627","$1,122.4","$26,064.3","$12,320.4","16,800",https://www.molsoncoors.com
367,Arthur J. Gallagher,AJG,Diversified Financials,Illinois,Rolling Meadows,"$11,554.9","$1,462.7","$64,255.2","$88,289.9","55,977",https://www.ajg.com
368,Huntington Ingalls Industries,HII,Aerospace & Defense,Virginia,Newport News,"$11,535",$550,"$12,141","$8,005.6","44,000",https://www.hii.com
369,International Flavors & Fragrances,IFF,Chemicals,New York,New York,"$11,484",$243,"$28,667","$19,847.6","22,400",https://www.iff.com
370,Darden Restaurants,DRI,Food Services,Florida,Orlando,"$11,390","$1,027.6","$11,323","$24,338.4","191,105",https://www.darden.com
371,Cincinnati Financial,CINF,Insurance: Property and Casualty (Stock),Ohio,Fairfield,"$11,337.5","$2,292.3","$36,500.7","$23,127.7","5,624",https://www.cinfin.com
372,Chipotle Mexican Grill,CMG,Food Services,California,Newport Beach,"$11,313.9","$1,534.1","$9,204.4","$68,051.5","130,504",https://www.chipotle.com
373,Yum China Holdings,YUMC,Food Services,Texas,Plano,"$11,303",$911,"$11,121","$19,522.3","245,500",https://ir.yumchina.com
374,Las Vegas Sands,LVS,"Hotels, Casinos, Resorts",Nevada,Las Vegas,"$11,298","$1,446","$20,666","$27,656.6","40,100",https://www.sands.com
375,Ulta Beauty,ULTA,Specialty Retailers: Other,Illinois,Bolingbrook,"$11,295.7","$1,201.1","$6,001.7","$16,607.7","39,000",https://www.ulta.com
376,Caesars Entertainment,CZR,"Hotels, Casinos, Resorts",Nevada,Reno,"$11,270",$-278,"$32,590","$5,300.3","50,000",https://www.caesars.com
377,BrightSpring Health Services,BTSG,Health Care: Pharmacy and Other Services,Kentucky,Louisville,"$11,266.5",$-18.1,"$5,926.1","$3,165.3","37,000",
378,Andersons,ANDE,Food Production,Ohio,Maumee,"$11,257.5",$114,"$4,121.3","$1,467.7","2,262",https://www.andersonsinc.com
379,Hershey,HSY,Food Consumer Products,Pennsylvania,Hershey,"$11,202.3","$2,221.2","$12,946.9","$34,644.3","19,285",https://www.thehersheycompany.com
380,Hilton Worldwide Holdings,HLT,"Hotels, Casinos, Resorts",Virginia,McLean,"$11,174","$1,535","$16,522","$54,524.2","181,000",https://www.hilton.com
381,Mosaic,MOS,Chemicals,Florida,Tampa,"$11,122.8",$174.9,"$22,924","$8,560.5","13,765",https://www.mosaicco.com
382,Airbnb,ABNB,Internet Services and Retailing,California,San Francisco,"$11,102","$2,648","$20,959","$75,324.3","7,300",https://www.airbnb.com
383,Diamondback Energy,FANG,"Mining, Crude-Oil Production",Texas,Midland,"$11,066","$3,338","$67,292","$46,275.8","1,983",https://www.diamondbackenergy.com
384,American Tower,AMT,Real estate,Massachusetts,Boston,"$11,038.4","$2,255","$61,077.4","$101,718.7","4,691",https://www.americantower.com
385,Vertex Pharmaceuticals,VRTX,Pharmaceuticals,Massachusetts,Boston,"$11,020.1",$-535.6,"$22,533.2","$124,496.9","6,100",https://www.vrtx.com
